drugbank_id,drug_name,fda_app_n,atc_codes
DB10856,Bos taurus hair,BLA103888|BLA103888|BLA103888|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10857,Serinus canaria feather,BLA102223|BLA101833|BLA101833|BLA101833|BLA101833,
DB10858,Melilotus albus pollen,BLA102223|BLA101376|BLA102223,
DB10859,Melilotus officinalis pollen,BLA102223|BLA102223,
DB10860,Typha latifolia pollen,BLA102223|BLA102226|BLA102223|BLA102223|BLA102223,
DB10861,Atlantic cod,BLA101833|BLA102223|BLA103753|BLA101833,
DB10862,Red currant,BLA102223,
DB10864,Cumin,BLA102223,
DB10865,Cladosporium herbarum,BLA102211|BLA102223|BLA101833|BLA101833|BLA101833|BLA101833|BLA102223|BLA101833|BLA101833|BLA101833|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10866,Acheta domesticus,BLA102223,
DB10867,Canis lupus familiaris hair,BLA103888|BLA103888|BLA103888|BLA103888|BLA103888|BLA103888|BLA102211|BLA102223|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10868,Odocoileus virginianus hair,BLA102223|BLA102223|BLA102223|BLA102223,
DB10869,Grain mill dust,BLA102223,
DB10870,Epidermophyton floccosum,BLA102223|BLA101833|BLA101833|BLA101833|BLA101833|BLA101376|BLA101833|BLA103888|BLA103888,
DB10871,Ambrosia dumosa pollen,BLA101833|BLA101833|BLA101833|BLA102223|BLA101833|BLA102211|BLA102223,
DB10872,Ambrosia confertiflora pollen,BLA102223|BLA101833|BLA101833|BLA102223|BLA101833|BLA101833|BLA101833,
DB10873,Sporisorium cruentum,BLA101833|BLA101833|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA101376|BLA101833|BLA102211|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10874,Goose,BLA102223,
DB10875,Concord grape,BLA102223|BLA102192,
DB10876,Capra hircus hair,BLA102223|BLA102223|BLA102223,
DB10877,Cavia porcellus hair,BLA103888|BLA103888|BLA102223|BLA102223|BLA101376,
DB10879,Arrhenatherum elatius pollen,BLA103421|BLA102226|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223,
DB10880,Equus caballus hair,BLA103888|BLA103888|BLA103888|BLA102223|BLA102223|BLA102223|BLA101376|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223|BLA102223,
DB10881,Sus scrofa hair,BLA102223|BLA102223|BLA101376|BLA102223|BLA102223,
DB10882,Carya cordiformis pollen,BLA102223|BLA102223,
DB10883,Carya glabra pollen,BLA101376|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA102223|BLA102223,
DB10884,Millet seed,BLA102223,
DB10885,Mustard greens,BLA102223,
DB10886,Quercus muehlenbergii pollen,BLA102223|BLA102223|BLA102223,
DB10887,Quercus palustris pollen,BLA102223|BLA102223|BLA102223,
DB10888,Quercus stellata pollen,BLA101376|BLA101376|BLA102223|BLA102223|BLA102223|BLA101833|BLA101833|BLA101376|BLA101833,
DB10889,Quercus garryana pollen,BLA102223|BLA102223|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833|BLA101833,
DB10890,Red bell pepper,BLA102192|BLA102223|BLA102223,
DB10891,Perch,BLA102192|BLA102223,
DB10892,Pumpkin,BLA102192|BLA102223|BLA102192|BLA102192|BLA102192,
DB10893,Melopsittacus undulatus feather,BLA102223|BLA101833|BLA101833|BLA101833|BLA101833,
DB10894,Pinus contorta pollen,BLA102223|BLA102223|BLA103888|BLA103888|BLA102223|BLA102223,
DB10895,Pinus sylvestris pollen,BLA101376|BLA102223,
DB10896,Pinus rigida pollen,BLA102223,
DB10897,Capsicum,part348|BLA102223|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348|part348,
DB10898,Oryctolagus cuniculus hair,BLA102223|BLA102223|BLA101376|BLA102223|BLA102223|BLA102223,
DB10899,Sequoia sempervirens pollen,BLA102223,
DB10900,Rumex obtusifolius pollen,BLA102223|BLA102223|BLA102223,
DB10901,Rumex altissimus pollen,BLA102223|BLA102223|BLA102223,
DB10902,Rumex salicifolius var. mexicanus pollen,BLA102223|BLA102223|BLA102223,
DB10903,Sitotroga cerealella,BLA102223,
DB10904,English sole,BLA102223,
DB10905,Safflower,BLA102223,
