,DrugBank_id,Drug_ATC,Drug_name,Tipo,Gene_name,Accion,Prioridad
417676,DB03936,,1-Deoxy-Ribofuranose-5'-Phosphate,target,kdsA,,1.0
417677,DB03937,,D-erythrose 4-phosphate,target,kdsA,,1.0
417678,DB03937,,D-erythrose 4-phosphate,target,GPI,,1.0
417679,DB03937,,D-erythrose 4-phosphate,target,aroF,,1.0
417680,DB03938,,Deacetoxycephalosporin C,target,cefE,,1.0
417681,DB03939,,"(4S)-4-hydroxy-3,4-dihydro-2(1H)-pyrimidinone",target,codA,,1.0
417682,DB03940,,Oxamic Acid,target,ABAT,inhibitor,1.0
417683,DB03940,,Oxamic Acid,target,,,1.0
417684,DB03940,,Oxamic Acid,target,ldh,,1.0
417685,DB03940,,Oxamic Acid,target,LDHA,,1.0
417686,DB03940,,Oxamic Acid,target,LDHB,,1.0
417687,DB03940,,Oxamic Acid,target,pflB,,1.0
417689,DB03942,,Carboxylic PRPP,target,LACZ,inhibitor,1.0
417690,DB03942,,Carboxylic PRPP,target,purR,,1.0
417691,DB03942,,Carboxylic PRPP,target,gpt,,1.0
417692,DB03942,,Carboxylic PRPP,target,purF,,1.0
417693,DB03944,,"5-[1-(3,4-Dimethoxy-Benzoyl)-1,2,3,4-Tetrahydro-Quinolin-6-Yl]-6-Methyl-3,6-Dihydro-[1,3,4]Thiadiazin-2-One",target,TNNC1,,1.0
417694,DB03945,,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",target,CRP,inhibitor,1.0
417695,DB03945,,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",target,ELSPBP1,,1.0
417696,DB03945,,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",target,hlgB,,1.0
417697,DB03947,,D-Xylulose,target,xylA,,1.0
417698,DB03948,,"6-Chloropurine Riboside, 5'-Monophosphate",target,IMPDH2,inhibitor,1.0
417699,DB03948,,"6-Chloropurine Riboside, 5'-Monophosphate",target,PPAT,inhibitor,1.0
417700,DB03948,,"6-Chloropurine Riboside, 5'-Monophosphate",target,IMPDH1,,1.0
417701,DB03949,,N-[(2S)-3-Phenyl-2-sulfanylpropanoyl]-L-phenylalanyl-L-tyrosine,target,nprS,,1.0
417702,DB03950,,(S)-N-(3-Indol-1-Yl-2-Methyl-Propyl)-4-Sulfamoyl-Benzamide,target,CA2,,1.0
417703,DB03951,,N-acetyl-D-glucosamine-6-phosphate,target,GNPDA1,,1.0
417704,DB03951,,N-acetyl-D-glucosamine-6-phosphate,target,nagB,,1.0
417705,DB03952,,9-(6-deoxy-beta-D-allofuranosyl)-6-methylpurine,target,deoD,,1.0
417706,DB03953,,Thiocitrulline,target,NOS2,inhibitor,1.0
417707,DB03953,,Thiocitrulline,target,NOS3,inhibitor,1.0
417708,DB03953,,Thiocitrulline,target,NOS1,inhibitor,1.0
417709,DB03955,,1-deoxymannojirimycin,target,MAN2A1,,1.0
417710,DB03956,,"Inositol 2,4,5-trisphosphate",target,PLCD1,,1.0
417711,DB03957,,SP2456,target,IL2,inhibitor,1.0
417712,DB03958,,7-methyl-guanosine-5'-triphosphate-5'-guanosine,target,DCPS,,1.0
417713,DB03958,,7-methyl-guanosine-5'-triphosphate-5'-guanosine,target,L1,,1.0
417714,DB03959,,"N,O6-Disulfo-Glucosamine",target,FGF2,inhibitor,1.0
417715,DB03959,,"N,O6-Disulfo-Glucosamine",target,FGF1,inhibitor,1.0
417716,DB03959,,"N,O6-Disulfo-Glucosamine",target,HGF,inhibitor,1.0
417717,DB03959,,"N,O6-Disulfo-Glucosamine",target,HS3ST3A1,,1.0
417718,DB03959,,"N,O6-Disulfo-Glucosamine",target,,,1.0
417719,DB03959,,"N,O6-Disulfo-Glucosamine",target,ANXA5,,1.0
417720,DB03961,,"2c-Methyl-D-Erythritol 2,4-Cyclodiphosphate",target,ispF,,1.0
417721,DB03962,,Nicotinamide 8-bromo-adenine dinucleotide phosphate,target,PGD,,1.0
417722,DB03963,,S-(Dimethylarsenic)Cysteine,target,TLR2,,1.0
417723,DB03963,,S-(Dimethylarsenic)Cysteine,target,UL80,,1.0
417724,DB03963,,S-(Dimethylarsenic)Cysteine,target,gag-pol,,1.0
417725,DB03963,,S-(Dimethylarsenic)Cysteine,target,NOS3,,1.0
417726,DB03963,,S-(Dimethylarsenic)Cysteine,target,COPG1,,1.0
417727,DB03963,,S-(Dimethylarsenic)Cysteine,target,,,1.0
417728,DB03963,,S-(Dimethylarsenic)Cysteine,target,XRCC4,,1.0
417729,DB03963,,S-(Dimethylarsenic)Cysteine,target,msrA,,1.0
